filename	img_id	split	sentence	swapped_sentence
1018148011.jpg	67	val	A group of people stand in the back of a truck filled with cotton.	A truck stands in the back of a group of people filled with cotton.
1018148011.jpg	67	val	Men are standing on and about a truck carrying a white substance.	A white substance are standing on and about a truck carrying Men.
1018148011.jpg	67	val	A group of people are standing on a pile of wool in a truck.	A pile of wool are standing on a group of people in a truck.
1018148011.jpg	67	val	A group of men are loading cotton onto a truck	Cotton are loading a group of men onto a truck
1018148011.jpg	67	val	Workers load sheared wool onto a truck.	Sheared wool load workers onto a truck.
1029450589.jpg	99	val	The young woman is sleeping in her room.	Her room is sleeping the young woman in.
1029737941.jpg	100	val	A kid wearing headphones sits on his mom's shoulders while in a crowd.	His mom's shoulders sits on a kid wearing headphones while in a crowd.
1029737941.jpg	100	val	A boy wearing headphones sits on a woman's shoulders.	A woman's shoulders sits on a boy wearing headphones.
103205630.jpg	109	val	Two men are about to enter an ice fishing tent on a snow covered lake.	An ice fishing tent are about to enter two men on a snow covered lake.
103205630.jpg	109	val	A tent is being set up on the ice.	The ice is being set up on a tent.
10350842.jpg	118	val	A man in a green shirt and red life jacket is sitting in a canoe drifting around the lake.	A canoe in a green shirt and red life jacket is sitting a man drifting around the lake.
10350842.jpg	118	val	A man wearing a life jacket is in a small boat on a lake with a ferry in view.	A small boat wearing a life jacket is in a man on a lake with a ferry in view.
10350842.jpg	118	val	A man wearing a red life-vest is sitting in a canoe on a body of water.	A canoe is sitting a man wearing a red life-vest on a body of water.
10350842.jpg	118	val	A balding man wearing a red life jacket is sitting in a small boat.	A small boat is sitting a balding man wearing a red life jacket.
10350842.jpg	118	val	A man in a red life vest is riding in a canoe.	A canoe is riding in a man in a red life vest.
1054620089.jpg	161	val	A woman in jeans and a red coat and carrying a multicolored handbag spreads put her arms while leaping up from a cobblestone street.	her arms in jeans and a red coat and carrying a multicolored handbag spreads put a woman while leaping up from a cobblestone street.
1054620089.jpg	161	val	A woman in a red jacket, with a blue and gold handbag is jumping while smiling on a cobblestone street.	A blue and gold handbag, with a woman in a red jacket is jumping while smiling on a cobblestone street.
1054620089.jpg	161	val	A woman wearing a red coat is jumping outdoors.	A red coat is jumping outdoors a woman wearing.
1056873310.jpg	170	val	Two dogs run towards each other on a rocky area with water in the background.	"""Towards each other run two dogs on a rocky area with water in the background."""
1056873310.jpg	170	val	A brown dog is running after a black dog on a rocky shore.	A black dog is running after a brown dog on a rocky shore.
1056873310.jpg	170	val	Two dogs run across stones near a body of water.	stones run across Two dogs near a body of water.
1056873310.jpg	170	val	A brown dog is running after the black dog.	The black dog is running after a brown dog.
1072439304.jpg	200	val	A young helmeted man, in his team uniform, is swinging his bat at an incoming baseball.	His bat, in his team uniform, is swinging a young helmeted man at an incoming baseball.
1072439304.jpg	200	val	A young boy wearing a Giants jersey swings a baseball bat at an incoming pitch.	A baseball bat wearing a Giants jersey swings a young boy at an incoming pitch.
1072439304.jpg	200	val	A child swings a baseball bat at the ball.	A baseball bat swings a child at the ball.
1073444492.jpg	203	val	Man talking on a phone, surrounded by books in an office.	A phone talking on a man, surrounded by books in an office.
1073444492.jpg	203	val	A man sits at a desk in room cluttered with books.	A desk sits at a man in room cluttered with books.
1073444492.jpg	203	val	A man in a cluttered office is using the telephone	The telephone is using a man in a cluttered office
1092437557.jpg	257	val	Woman is enjoying herself being outdoors biking in a forrest preserve.	Herself is enjoying Woman being outdoors biking in a forrest preserve.
1092437557.jpg	257	val	A girl in an orange tank top is walking her bike through the forrest.	Her bike is walking a girl in an orange tank top through the forrest.
1092437557.jpg	257	val	A smiling woman in a peach tank top stands holding a mountain bike	A mountain bike stands holding a smiling woman in a peach tank top
1092437557.jpg	257	val	A girl smiles while holding her bike in a field.	Her bike smiles while holding a girl in a field.
109671650.jpg	280	val	A boy in yellow shorts is standing on top of a cliff.	A cliff is standing on top of a boy in yellow shorts.
109671650.jpg	280	val	A young child is standing alone on some jagged rocks.	some jagged rocks is standing alone on A young child
109671650.jpg	280	val	Child stands near edge of cliff.	Edge of cliff stands near child.
109738763.jpg	282	val	A snowmobile rider flies through the air on his or her machine in front of tall pine trees.	His or her machine flies through the air on a snowmobile rider in front of tall pine trees.
109738763.jpg	282	val	Rider jumps snowmobile high in rural area.	Snowmobile jumps Rider high in rural area.
109738763.jpg	282	val	The man is up in the air.	The air is up in the man.
109982467.jpg	293	val	A mother and three children collecting garbage from a blue and white garbage can on the street.	A blue and white garbage can collects a mother and three children garbage from on the street.
109982467.jpg	293	val	A woman and three children are picking something out of a blue trashcan.	Something are picking a woman and three children out of a blue trashcan.
109982467.jpg	293	val	Three young children stand around a blue and white barrel.	A blue and white barrel stand around three young children.
109982467.jpg	293	val	Four children are standing around a blue and white barrel.	A blue and white barrel are standing around four children.
109982467.jpg	293	val	A group of children look into a barrel.	A barrel look into a group of children.
110269384.jpg	301	val	A dark-haired woman in a green and white apron sits amid her outdoor display of flowers for sale on a city street.	Her outdoor display of flowers for sale on a city street sits amid a dark-haired woman in a green and white apron.
110269384.jpg	301	val	A woman is sitting by her dried flower display at an outside market.	Her dried flower display is sitting by a woman at an outside market.
110269384.jpg	301	val	A woman sells flowers and incense at the market.	Flowers and incense sells a woman at the market.
110269384.jpg	301	val	A lady is sitting down tending to her stand.	Her stand is sitting down tending to a lady.
